epoch,S_star,p_t,beta_t,omega_t,false_trust_rate,social_welfare,high_type_participation,reward_gini,collusion_success_rate,capital_exclusion_rate,mechanism,seed
150,1.0,0.395,0.7334668985433014,0.3211678037546979,0.16,54.89633081090722,0.875,0.641329502930562,0.0,0.125,pure_stake,1
151,1.0,0.395,0.6585623142964563,0.31412810914475003,0.08,55.337366303954056,0.875,0.6375643066064848,0.0,0.125,pure_stake,1
152,1.0,0.39,0.6927549445114991,0.3305336087137741,0.08,56.552328115949855,0.875,0.6447683078714909,0.0,0.125,pure_stake,1
153,1.0,0.4,0.6300427606967101,0.36845666458275184,0.14,52.59172542042775,0.875,0.6385675630220823,0.0,0.125,pure_stake,1
154,1.0,0.4,0.6644015270455707,0.38864041545801614,0.16,56.963318325678514,0.8875,0.6406114837911661,1.0,0.1125,pure_stake,1
155,1.0,0.4,0.7816641150285722,0.35309011787197364,0.18,56.05896893764775,0.8875,0.6351852799015268,1.0,0.1125,pure_stake,1
156,1.0,0.395,0.6907694466660391,0.293747655853063,0.14,60.41740238239868,0.9,0.6370159833494399,0.0,0.1,pure_stake,1
157,1.0,0.39,0.7398997433017022,0.3216044872968426,0.08,63.78976703088145,0.9,0.6444493382155794,0.0,0.1,pure_stake,1
158,1.0,0.4,0.6859439215405542,0.30628054088815226,0.1,59.62699798737886,0.9,0.6358811591107398,0.0,0.1,pure_stake,1
159,1.0,0.385,0.6918574805306199,0.31630628925811727,0.12,61.23673900377422,0.8875,0.6492710664117729,0.0,0.1125,pure_stake,1
160,1.0,0.395,0.6432616630116132,0.3321658251004709,0.12,62.052841149744566,0.8875,0.6415689586348224,0.0,0.1125,pure_stake,1
161,1.0,0.39,0.7097148726582244,0.2830390990609097,0.12,61.18139394928407,0.9,0.6417010588198605,0.0,0.1,pure_stake,1
162,1.0,0.385,0.7111857857582587,0.2554020123144151,0.08,61.646953933748286,0.9,0.6440804759036299,0.0,0.1,pure_stake,1
163,1.0,0.4,0.712781753789938,0.3368960187203086,0.16,61.51392175232605,0.9,0.6383406586011985,0.0,0.1,pure_stake,1
164,1.0,0.405,0.6994365596103465,0.34475429756930714,0.1,59.670764600728255,0.9,0.6360829251742496,0.0,0.1,pure_stake,1
165,1.0,0.385,0.7376593035910461,0.31617192101530706,0.1,63.00715896102496,0.9,0.6536294185225484,0.0,0.1,pure_stake,1
166,1.0,0.385,0.7505685375613678,0.3411445458276699,0.12,65.46031436759854,0.9,0.6547672687160637,0.0,0.1,pure_stake,1
167,1.0,0.385,0.5998843278221753,0.32719938051764214,0.14,59.71162345751788,0.9,0.6564151107143429,0.0,0.1,pure_stake,1
168,1.0,0.405,0.5800411795919349,0.334761347798346,0.18,57.92321722046393,0.9,0.6338329420512556,0.0,0.1,pure_stake,1
169,1.0,0.41,0.6895717095218034,0.3348376712489974,0.18,50.14493567345553,0.9,0.6303591919599967,0.0,0.1,pure_stake,1
170,1.0,0.395,0.6960375653952999,0.337493510355826,0.18,57.79311324815159,0.9,0.6428867448272074,0.0,0.1,pure_stake,1
171,1.0,0.39,0.7424487555529664,0.3059462720209473,0.18,59.84762084694534,0.9,0.644537379018352,0.0,0.1,pure_stake,1
172,1.0,0.395,0.7691699857830584,0.3493005304473044,0.16,58.09645197158799,0.9,0.6445426778149868,0.0,0.1,pure_stake,1
173,1.0,0.4,0.8106378871170931,0.3550053075547797,0.14,58.79665565969104,0.9,0.6383069481600545,0.0,0.1,pure_stake,1
174,1.0,0.4,0.8585281883035536,0.3524022976924632,0.08,62.29395603589365,0.9,0.6379276159022381,0.0,0.1,pure_stake,1
175,1.0,0.41,0.639888053788984,0.34285982610191046,0.2,55.36293180574074,0.9,0.6255333206178689,0.0,0.1,pure_stake,1
176,1.0,0.42,0.6058669859592795,0.37601008838445515,0.24,47.529955823409395,0.9,0.6202847883564558,1.0,0.1,pure_stake,1
177,1.0,0.43,0.7007138621264223,0.35616135622521067,0.24,51.400074514320345,0.9,0.6100569487453409,0.0,0.1,pure_stake,1
178,1.0,0.395,0.7862031334075609,0.3011561401873967,0.12,61.71168118018806,0.9,0.6382430796670805,0.0,0.1,pure_stake,1
179,1.0,0.41,0.5994422174828343,0.3445477830863676,0.2,50.22208979678978,0.9,0.6246807576282106,0.0,0.1,pure_stake,1
180,1.0,0.425,0.6091764954713356,0.3571761171708592,0.22,46.52403278215697,0.9,0.6146611874187502,0.0,0.1,pure_stake,1
181,1.0,0.42,0.7129775669697117,0.34396307407696847,0.2,57.68137564597674,0.9125,0.616997842803911,0.0,0.0875,pure_stake,1
182,1.0,0.405,0.7017425104296356,0.3351899695116567,0.14,54.50082513082689,0.9125,0.6285225733317162,0.0,0.0875,pure_stake,1
183,1.0,0.4,0.7459085536056427,0.34246743002163155,0.2,63.21148869240848,0.9125,0.6365462980248638,0.0,0.0875,pure_stake,1
184,1.0,0.395,0.7259491992317175,0.31943459970054655,0.12,61.31457975062235,0.9,0.6391508784306857,0.0,0.1,pure_stake,1
185,1.0,0.43,0.6831266339495546,0.35349473156685257,0.12,54.42146476256025,0.9125,0.6097892007853816,0.0,0.0875,pure_stake,1
186,1.0,0.43,0.6283275654927628,0.3735457764525052,0.2,49.96896221216741,0.9125,0.6108250089101966,0.0,0.0875,pure_stake,1
187,1.0,0.405,0.7403477677986144,0.3354949119860724,0.14,62.08907825327988,0.9,0.6329984756498487,0.0,0.1,pure_stake,1
188,1.0,0.42,0.7442200124605471,0.3714651101508007,0.08,62.588097827991604,0.925,0.6231341629483242,1.0,0.075,pure_stake,1
189,1.0,0.435,0.8209021561872513,0.34542647436818985,0.16,56.089332148461516,0.9375,0.6040525714610413,0.0,0.0625,pure_stake,1
190,1.0,0.4,0.6961188593951999,0.34181835376724656,0.1,61.76252208675717,0.925,0.6402703920998148,0.0,0.075,pure_stake,1
191,1.0,0.415,0.79838915202837,0.3330289580371977,0.1,52.54928127874449,0.925,0.6246721396354744,0.0,0.075,pure_stake,1
192,1.0,0.41,0.7840765499102184,0.32424535686415223,0.12,61.82095466765308,0.925,0.6270494056518005,0.0,0.075,pure_stake,1
193,1.0,0.415,0.8408183160981321,0.32023137167717297,0.08,59.9174736275559,0.925,0.624796830343159,0.0,0.075,pure_stake,1
194,1.0,0.4,0.7519232855359534,0.3384653007762076,0.12,58.61133851640361,0.925,0.6408608704394715,0.0,0.075,pure_stake,1
195,1.0,0.405,0.8063019000034963,0.34800051400273835,0.14,58.99924604844662,0.9375,0.6358175875837827,0.0,0.0625,pure_stake,1
196,1.0,0.425,0.7405812109579518,0.3361116617701651,0.16,53.19128934781476,0.925,0.6122784226453252,0.0,0.075,pure_stake,1
197,1.0,0.385,0.6500209045056962,0.2809050413255542,0.12,64.09081224949445,0.925,0.6486094487038295,0.0,0.075,pure_stake,1
198,1.0,0.4,0.6457929739043733,0.3332157786558185,0.16,62.292831695594785,0.925,0.6406533356059961,0.0,0.075,pure_stake,1
199,1.0,0.395,0.7497844144454843,0.3140698016777754,0.1,64.67565708043092,0.925,0.642233248753997,0.0,0.075,pure_stake,1
50,1.0,0.34,0.43651990536677016,0.3303804171628311,0.14705882352941177,57.345525018859085,0.75,0.6929462099704288,0.0,0.25,pure_stake,2
51,1.0,0.325,0.5418411946330368,0.29059128938478446,0.16,63.93694242388099,0.75,0.7051633711773067,0.0,0.25,pure_stake,2
52,1.0,0.32,0.5540737949440276,0.2824153691811144,0.1,66.72178714185375,0.75,0.7099923360297565,0.0,0.25,pure_stake,2
53,1.0,0.335,0.4475922432090654,0.29966336686003164,0.16,54.79119121959016,0.7625,0.6965842978460464,0.0,0.2375,pure_stake,2
54,1.0,0.33,0.5964953124408094,0.3094953292587244,0.09090909090909091,61.250507017622226,0.775,0.703007659516756,0.0,0.225,pure_stake,2
55,1.0,0.355,0.5297283148186729,0.3187979054526109,0.24,52.91354273806587,0.775,0.6789179355638725,0.0,0.225,pure_stake,2
56,1.0,0.35,0.5432289750601104,0.3174041416878223,0.14285714285714285,59.875065928903204,0.7875,0.6857879364564095,0.0,0.2125,pure_stake,2
57,1.0,0.34,0.5406713721812101,0.3170420947285682,0.1,62.43063493521026,0.7875,0.6933843313166748,0.0,0.2125,pure_stake,2
58,1.0,0.345,0.49215674424798767,0.3366370765789144,0.11594202898550725,62.962385172090904,0.8125,0.6923221862648817,0.0,0.1875,pure_stake,2
59,1.0,0.35,0.5868987151198479,0.3438494822268718,0.12,61.53050695778999,0.8,0.6880703686422043,0.0,0.2,pure_stake,2
60,1.0,0.355,0.6994659189733624,0.2943147916481527,0.14,64.27325685569522,0.8,0.677822513532995,0.0,0.2,pure_stake,2
61,1.0,0.36,0.5756781568337361,0.3013376691193255,0.12,60.11771907949777,0.8,0.6692330111990031,0.0,0.2,pure_stake,2
62,1.0,0.37,0.5830454575975564,0.32780769695700857,0.12,55.219446482757625,0.8,0.6623185790292256,0.0,0.2,pure_stake,2
63,1.0,0.37,0.5647909572784733,0.30901855287875235,0.2,55.56099514399759,0.8,0.6621024099452094,0.0,0.2,pure_stake,2
64,1.0,0.355,0.5861087171185473,0.28597646565733625,0.14,61.6291374215251,0.8,0.6777429240350382,0.0,0.2,pure_stake,2
65,1.0,0.33,0.6432766913255868,0.2785059223329061,0.08,66.72977022014892,0.8,0.7029830445968656,0.0,0.2,pure_stake,2
66,1.0,0.335,0.5719910343127331,0.26911482781468704,0.13432835820895522,62.98117242939495,0.8,0.6972206537322724,0.0,0.2,pure_stake,2
67,1.0,0.365,0.6163434504821926,0.3018614350613975,0.16,56.91800581957684,0.8,0.6696408449914081,0.0,0.2,pure_stake,2
68,1.0,0.36,0.5385457871366908,0.2856127049129106,0.16,60.97031223741182,0.8,0.6713015669918685,0.0,0.2,pure_stake,2
69,1.0,0.37,0.5049532557722459,0.32590869504537673,0.16,57.115595801397525,0.8,0.6640095492331293,0.0,0.2,pure_stake,2
70,1.0,0.35,0.474233815974425,0.3506995266319867,0.12857142857142856,60.36498445647718,0.8,0.6857436462894162,0.0,0.2,pure_stake,2
71,1.0,0.355,0.5336338253356847,0.3174998838994765,0.14084507042253522,62.84758280114831,0.8,0.6806356124742771,0.0,0.2,pure_stake,2
72,1.0,0.345,0.5098486713850667,0.31495151710712677,0.10144927536231885,61.218426193612835,0.8,0.6918558668787463,0.0,0.2,pure_stake,2
73,1.0,0.345,0.6241912520859799,0.2929400343109389,0.12,64.90128360772202,0.8,0.6902094654579428,0.0,0.2,pure_stake,2
74,1.0,0.36,0.4822915867146824,0.27262322346704043,0.22,51.4957838322401,0.8,0.6709411394553175,0.0,0.2,pure_stake,2
75,1.0,0.355,0.537453477075113,0.29658222127334094,0.14,59.750038531759664,0.8,0.6805376004467842,0.0,0.2,pure_stake,2
76,1.0,0.355,0.5875205160804517,0.288502394290705,0.16,59.20201123824757,0.8,0.6781175226662526,0.0,0.2,pure_stake,2
77,1.0,0.35,0.4835630164018411,0.2954155786857904,0.24,58.10969640306592,0.8,0.6841269644227086,0.0,0.2,pure_stake,2
78,1.0,0.35,0.5614082990026349,0.30737180918758567,0.16,58.769763879349895,0.8,0.6848430866798338,0.0,0.2,pure_stake,2
79,1.0,0.37,0.528143820589829,0.33481247598242664,0.26,51.67274099699969,0.8125,0.6644396588467789,0.0,0.1875,pure_stake,2
80,1.0,0.35,0.58421041027046,0.28086044588140635,0.12,63.806515816835024,0.8125,0.680787220618243,0.0,0.1875,pure_stake,2
81,1.0,0.335,0.591438075018937,0.25804128408784077,0.14,58.82210758518575,0.8,0.6932738159562123,0.0,0.2,pure_stake,2
82,1.0,0.35,0.5784131612866628,0.2602750195030259,0.12,60.343303958306585,0.8125,0.6787373111131627,0.0,0.1875,pure_stake,2
83,1.0,0.34,0.6146305345877432,0.2600310329008433,0.14,63.86806782024487,0.8,0.6890754487863612,0.0,0.2,pure_stake,2
84,1.0,0.36,0.602236628914711,0.2889309732147425,0.19444444444444448,55.57430273974965,0.8,0.6733305438621275,0.0,0.2,pure_stake,2
85,1.0,0.36,0.5984219950395858,0.27354394367821944,0.12,54.627824695234374,0.8,0.6709178016735339,0.0,0.2,pure_stake,2
86,1.0,0.345,0.6844013731809727,0.2869390591751034,0.08695652173913043,63.536514765312894,0.8,0.686818215834656,0.0,0.2,pure_stake,2
87,1.0,0.35,0.6212808654263404,0.28220225168099833,0.11428571428571428,61.020316848197865,0.8,0.6810021557211662,0.0,0.2,pure_stake,2
88,1.0,0.37,0.5198320897276651,0.29423401258775017,0.18,56.21235622221416,0.8125,0.6631789001642282,0.0,0.1875,pure_stake,2
89,1.0,0.355,0.5898673992467733,0.31668972778227183,0.14,60.320292438925726,0.8,0.6798891046029214,0.0,0.2,pure_stake,2
90,1.0,0.345,0.5803276173490725,0.2951223576658799,0.12,56.38091242277542,0.8,0.6873694346853129,0.0,0.2,pure_stake,2
91,1.0,0.36,0.6072900469660559,0.29749205890583114,0.14,59.90766236957526,0.8125,0.673187682039964,0.0,0.1875,pure_stake,2
92,1.0,0.355,0.5681581629371526,0.3015515256772016,0.14,60.64191865098688,0.8125,0.677551116989438,0.0,0.1875,pure_stake,2
