kappa,xi,zeta,Lambda
0.3728813559322034,0.8,0.8,1.0535593220338983
0.3898305084745763,0.8,0.8,1.045084745762712
0.4067796610169492,0.8,0.8,1.0366101694915255
0.423728813559322,0.8,0.8,1.028135593220339
0.4406779661016949,0.8,0.8,1.0196610169491527
0.4576271186440678,0.8,0.8,1.011186440677966
0.4745762711864407,0.8,0.8,1.0027118644067796
0.4915254237288136,0.8,0.8,0.9942372881355932
0.5084745762711864,0.8,0.8,0.9857627118644068
0.5254237288135594,0.8,0.8,0.9772881355932204
0.5423728813559322,0.8,0.8,0.968813559322034
0.559322033898305,0.8,0.8,0.9603389830508475
0.576271186440678,0.8,0.8,0.9518644067796611
0.5932203389830508,0.8,0.8,0.9433898305084747
0.6101694915254238,0.8,0.8,0.9349152542372882
0.6271186440677966,0.8,0.8,0.9264406779661017
0.6440677966101694,0.8,0.8,0.9179661016949153
0.6610169491525424,0.8,0.8,0.9094915254237288
0.6779661016949152,0.8,0.8,0.9010169491525424
0.6949152542372882,0.8,0.8,0.892542372881356
0.711864406779661,0.8,0.8,0.8840677966101695
0.7288135593220338,0.8,0.8,0.8755932203389831
0.7457627118644068,0.8,0.8,0.8671186440677967
0.7627118644067796,0.8,0.8,0.8586440677966103
0.7796610169491526,0.8,0.8,0.8501694915254238
0.7966101694915254,0.8,0.8,0.8416949152542373
0.8135593220338984,0.8,0.8,0.8332203389830508
0.8305084745762712,0.8,0.8,0.8247457627118644
0.847457627118644,0.8,0.8,0.816271186440678
0.864406779661017,0.8,0.8,0.8077966101694916
0.8813559322033898,0.8,0.8,0.7993220338983051
0.8983050847457628,0.8,0.8,0.7908474576271187
0.9152542372881356,0.8,0.8,0.7823728813559323
0.9322033898305084,0.8,0.8,0.7738983050847459
0.9491525423728814,0.8,0.8,0.7654237288135594
0.9661016949152542,0.8,0.8,0.7569491525423729
0.9830508474576272,0.8,0.8,0.7484745762711864
1.0,0.8,0.8,0.74
