theta,pi_theta,marginal_return,s_star
0.5683851068239151,0.20106521261162974,-0.0011384776395118694,0.0
0.7431634399674671,0.1398927960113865,0.0068139365185197545,0.06813936518519755
0.33561598035406637,0.2825344068760768,-0.011729472893889984,0.0
0.4463351282031602,0.24378270512889394,-0.006691751666756212,0.0
0.7507429252524664,0.13723997616163675,0.0071588030989872195,0.0715880309898722
0.3806706192030804,0.2667652832789219,-0.00967948682625985,0.0
0.6974403449989977,0.1558958792503508,0.004733535697454393,0.047335356974543934
0.7991664803445185,0.1202917318794185,0.009362074855675594,0.09362074855675595
0.8606660605656672,0.09876687880201646,0.012160305755737857,0.12160305755737857
0.5039278238537742,0.22362526165117902,-0.0040712840146532765,0.0
0.6205412130409328,0.18281057543567353,0.0012346251933624368,0.012346251933624368
0.6029178243380521,0.18897876148168177,0.0004327610073813666,0.004327610073813666
0.4863944756337828,0.22976193352817603,-0.004869051358662887,0.0
0.4414985314723498,0.24547551398467757,-0.0069118168180080895,0.0
0.342158262090055,0.28024460826848074,-0.011431799074902497,0.0
0.6688550256765606,0.1659007410132038,0.003432903668283506,0.03432903668283506
0.37893400194090365,0.26737309932068376,-0.00975850291168889,0.0
0.021945636994157247,0.39231902705204497,-0.026001473516765846,0.0
0.08719029929457552,0.3694833952468986,-0.02303284138209682,0.0
0.6511932761843405,0.1720823533354808,0.0026292940663874935,0.026292940663874935
0.3001333894071843,0.2949533137074855,-0.013343930781973119,0.0
0.4641478124916115,0.23754826562793596,-0.0058812745316316785,0.0
0.6755216825924406,0.16356741109264578,0.0037362365579560464,0.037362365579560464
0.2522429801842571,0.31171495693551,-0.015522944401616303,0.0
0.33213063110765245,0.28375427911232165,-0.011888056284601819,0.0
0.8879915861566299,0.08920294484517954,0.013403617170126657,0.13403617170126658
0.9190345222556099,0.07833791721053651,0.014816070762630251,0.1481607076263025
0.38927968876275687,0.26375210893303513,-0.00928777416129457,0.0
0.5878068259354812,0.1942676109225816,-0.0002547894199356124,0.0
0.364099370923541,0.27256522017676066,-0.01043347862297889,0.0
0.34033135277558596,0.28088402652854494,-0.011514923448710846,0.0
0.7030913197940191,0.15391803807209334,0.004990655050627863,0.04990655050627863
0.5182238415871203,0.2186216554445079,-0.0034208152077860286,0.0
0.5571780882709746,0.2049876691051589,-0.0016483969836706587,0.0
0.23355439743724823,0.3182559608969631,-0.016373274916605212,0.0
0.6404447656160787,0.17584433203437247,0.0021402368355315747,0.021402368355315747
0.8360102336091333,0.10739641823680335,0.011038465629215562,0.11038465629215563
0.580286951334342,0.19689956703298028,-0.0005969437142874408,0.0
0.6352407157275332,0.1776657494953634,0.0019034525656027555,0.019034525656027555
0.24441437818191086,0.3144549676363312,-0.015879145792723055,0.0
0.29717091840425236,0.2959901785585117,-0.013478723212606524,0.0
0.44169038581957776,0.2454083649631478,-0.0069030874452092154,0.0
0.46726092092195176,0.2364586776773169,-0.005739628098051199,0.0
0.15518653895491566,0.34568471136577955,-0.019939012477551348,0.0
0.8673234382240064,0.09643679662159776,0.012463216439192288,0.12463216439192287
0.5868937156955049,0.1945871995065733,-0.000296335935854531,0.0
0.48869820456242263,0.2289556284031521,-0.004764231692409776,0.0
0.0747946852435294,0.3738218601647647,-0.023596841821419415,0.0
0.40546965088826614,0.25808562218910686,-0.008551130884583893,0.0
0.44994856782213616,0.24251800126225234,-0.006527340164092805,0.0
0.25454156310083026,0.3109104529147094,-0.015418358878912231,0.0
0.6321586373633489,0.17874447692282788,0.0017632180000323738,0.01763218000032374
0.23869842423848633,0.3164555515165298,-0.01613922169714888,0.0
0.1879926525042614,0.3342025716235085,-0.01844633431105611,0.0
0.8212249188302815,0.11257127840940145,0.010365733806777808,0.10365733806777808
0.2826729689322025,0.3010644608737291,-0.014138379913584787,0.0
0.3210771418001783,0.2876230003699376,-0.012390990048091893,0.0
0.5434716701478294,0.20978491544825972,-0.002272039008273767,0.0
0.4221087715875818,0.2522619299443464,-0.007794050892765029,0.0
0.6555121825312649,0.1705707361140573,0.002825804305172548,0.02825804305172548
0.7397445581871992,0.14108940463448028,0.006658377397517561,0.0665837739751756
0.5420116481300665,0.21029592315447673,-0.002338470010081979,0.0
0.0876614788892319,0.36931848238876885,-0.023011402710539957,0.0
0.2748887815363073,0.30378892646229244,-0.014492560440098019,0.0
